,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P@:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CP(C)C,C=CC(=O)OC.CP(C)C,100.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P@:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
1,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CP(C)C,CO/C([O-])=C\C[P+](C)(C)C,32.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
2,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CP(C)C,CO/C([O-])=C\C[P+](C)(C)C,30.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
3,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CP(C)C,CO/C([O-])=C/C[P+](C)(C)C,11.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
4,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CP(C)C,CO/C([O-])=C/C[P+](C)(C)C,8.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
5,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CP(C)C,C=CC(=O)OC.CP(C)C,5.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
6,[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CP(C)C,CO/C([O-])=C\C[P+](C)(C)C,2.0,[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
7,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CP(C)C,CO/C([O-])=C\C[P+](C)(C)C,1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
8,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[P:13]([O:5][C@:6]([H:10])([H:11])[H:12])([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CP(C)C,COP(C)(C)(C)CC=C=O,1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[P:13]([O:5][C@:6]([H:10])([H:11])[H:12])([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
9,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CP(C)C,CO/C([O-])=C\C[P+](C)(C)C,1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
