,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CN(C)C,CO/C([O-])=C\C[N+](C)(C)C,12,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
1,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CN(C)C,CO/C([O-])=C\C[N+](C)(C)C,11,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
2,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CN(C)C,CO/C([O-])=C\C[N+](C)(C)C,9,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
3,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CN(C)C,CO/C([O-])=C\C[N+](C)(C)C,6,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
4,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CN(C)C,CO/C([O-])=C/C[N+](C)(C)C,5,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
5,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CN(C)C,CO/C([O-])=C/C[N+](C)(C)C,4,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
6,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CN(C)C,CO/C([O-])=C/C[N+](C)(C)C,3,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
7,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],C=CC(=O)OC.CN(C)C,CO/C([O-])=C/C[N+](C)(C)C,2,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]
8,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@@:14]([N:13]([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25])([H:17])[H:18])([H:7])([H:8])[H:19],C=CC(=O)OC.CN(C)C,COC(=O)[C@@H](C)CN(C)C,1,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@@:14]([N:13]([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25])([H:17])[H:18])([H:7])([H:8])[H:19]
9,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25]>>[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:15]([N:13]([C@:14]([H:17])([H:18])[H:19])[C@:16]([H:23])([H:24])[H:25])([H:20])[H:22])([H:7])([H:8])[H:21],C=CC(=O)OC.CN(C)C,COC(=O)[C@H](C)CN(C)C,1,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([C@:14]([H:17])([H:18])[H:19])([C@:15]([H:20])([H:21])[H:22])[C@:16]([H:23])([H:24])[H:25],[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:15]([N:13]([C@:14]([H:17])([H:18])[H:19])[C@:16]([H:23])([H:24])[H:25])([H:20])[H:22])([H:7])([H:8])[H:21]
