,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]>>[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([H:14])([H:15])[H:16],C=CC(=O)OC.N,CO/C([O-])=C\C[NH3+],12.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([H:14])([H:15])[H:16]
1,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]>>[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([H:14])([H:15])[H:16],C=CC(=O)OC.N,CO/C([O-])=C\C[NH3+],10.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([H:14])([H:15])[H:16]
2,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]>>[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([H:14])([H:15])[H:16],C=CC(=O)OC.N,CO/C([O-])=C\C[NH3+],8.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@@+:13]([H:14])([H:15])[H:16]
3,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]>>[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],C=CC(=O)OC.N,C=CC(=O)OC.N,7.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]
4,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]>>[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([H:14])([H:15])[H:16],C=CC(=O)OC.N,CO/C([O-])=C\C[NH3+],6.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N@+:13]([H:14])([H:15])[H:16]
5,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]>>[C@:1](/[C:2](=[C:3](\[O:4][H:15])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N:13]([H:14])[H:16],C=CC(=O)OC.N,CO/C(O)=C/CN,5.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],[C@:1](/[C:2](=[C:3](\[O:4][H:15])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N:13]([H:14])[H:16]
6,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]>>[C@@:1](/[C:2](=[C:3](\[O:4][H:14])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N:13]([H:15])[H:16],C=CC(=O)OC.N,CO/C(O)=C/CN,5.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],[C@@:1](/[C:2](=[C:3](\[O:4][H:14])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N:13]([H:15])[H:16]
7,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]>>[C:1](=[C:2](\[C:3](=[O:4])[N:13]([H:14])[H:15])[H:9])(\[H:7])[H:8].[O:5]([C@:6]([H:10])([H:11])[H:12])[H:16],C=CC(=O)OC.N,C=CC(N)=O.CO,3.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],[C:1](=[C:2](\[C:3](=[O:4])[N:13]([H:14])[H:15])[H:9])(\[H:7])[H:8].[O:5]([C@:6]([H:10])([H:11])[H:12])[H:16]
8,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]>>[C:1](=[C:2](\[C:3](=[O:4])[N:13]([H:14])[H:16])[H:9])(\[H:7])[H:8].[O:5]([C@:6]([H:10])([H:11])[H:12])[H:15],C=CC(=O)OC.N,C=CC(N)=O.CO,3.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],[C:1](=[C:2](\[C:3](=[O:4])[N:13]([H:14])[H:16])[H:9])(\[H:7])[H:8].[O:5]([C@:6]([H:10])([H:11])[H:12])[H:15]
9,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16]>>[C@@:1](/[C:2](=[C:3](\[O:4][H:16])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N:13]([H:14])[H:15],C=CC(=O)OC.N,CO/C(O)=C/CN,3.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[N:13]([H:14])([H:15])[H:16],[C@@:1](/[C:2](=[C:3](\[O:4][H:16])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[N:13]([H:14])[H:15]
