,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15]>>[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[S:13][H:14])([H:7])([H:8])[H:15],C=CC(=O)OC.S,COC(=O)[C@@H](C)S,10.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15],[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[S:13][H:14])([H:7])([H:8])[H:15]
1,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15]>>[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[S:13][H:15])([H:7])([H:8])[H:14],C=CC(=O)OC.S,COC(=O)[C@H](C)S,8.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15],[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[S:13][H:15])([H:7])([H:8])[H:14]
2,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15]>>[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[S:13][H:15])([H:7])([H:8])[H:14],C=CC(=O)OC.S,COC(=O)[C@@H](C)S,7.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15],[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[S:13][H:15])([H:7])([H:8])[H:14]
3,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15]>>[C:1](=[C:2](\[C@:3]([O:4][H:14])([O:5][C@:6]([H:10])([H:11])[H:12])[S:13][H:15])[H:9])(\[H:7])[H:8],C=CC(=O)OC.S,C=C[C@@](O)(S)OC,6.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15],[C:1](=[C:2](\[C@:3]([O:4][H:14])([O:5][C@:6]([H:10])([H:11])[H:12])[S:13][H:15])[H:9])(\[H:7])[H:8]
4,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15]>>[C@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[S:13][H:15])([H:7])([H:8])[H:14],C=CC(=O)OC.S,COC(=O)[C@H](C)S,5.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15],[C@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[S:13][H:15])([H:7])([H:8])[H:14]
5,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15]>>[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[S:13][H:14])([H:7])([H:8])[H:15],C=CC(=O)OC.S,COC(=O)[C@H](C)S,4.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15],[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[S:13][H:14])([H:7])([H:8])[H:15]
6,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15]>>[C:1](=[C:2]([C:3](\[O:4][H:14])=[O+:5]/[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[S-:13][H:15],C=CC(=O)OC.S,C=C/C(O)=[O+]\C.[SH-],4.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15],[C:1](=[C:2]([C:3](\[O:4][H:14])=[O+:5]/[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[S-:13][H:15]
7,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15]>>[C:1](=[C:2](\[C@:3]([O:4][H:15])([O:5][C@:6]([H:10])([H:11])[H:12])[S:13][H:14])[H:9])(\[H:7])[H:8],C=CC(=O)OC.S,C=C[C@@](O)(S)OC,4.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15],[C:1](=[C:2](\[C@:3]([O:4][H:15])([O:5][C@:6]([H:10])([H:11])[H:12])[S:13][H:14])[H:9])(\[H:7])[H:8]
8,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15]>>[C@:1](/[C:2](=[C:3](/[O:4][S:13][H:15])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[H:14],C=CC(=O)OC.S,C/C=C(\OC)OS,4.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15],[C@:1](/[C:2](=[C:3](/[O:4][S:13][H:15])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[H:14]
9,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15]>>[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:8])[H:15].[H:7][S:13][H:14],C=CC(=O)OC.S,C=CC(=O)OC.S,3.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([H:14])[H:15],[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:8])[H:15].[H:7][S:13][H:14]
