,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
0,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],C=C.C=CC(=O)OC,C=C.C=CC(=O)OC,8,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]
1,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C@@:1]1([H:7])([H:8])[C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:14]([H:17])([H:18])[C@@:13]1([H:15])[H:16],C=C.C=CC(=O)OC,COC(=O)C1CCC1,8,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C@@:1]1([H:7])([H:8])[C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:14]([H:17])([H:18])[C@@:13]1([H:15])[H:16]
2,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C@:1]1([H:7])([H:8])[C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@@:13]([H:15])([H:16])[C@:14]1([H:17])[H:18],C=C.C=CC(=O)OC,COC(=O)C1CCC1,6,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C@:1]1([H:7])([H:8])[C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@@:13]([H:15])([H:16])[C@:14]1([H:17])[H:18]
3,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C@@:1]1([H:7])([H:8])[C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:13]([H:15])([H:16])[C@@:14]1([H:17])[H:18],C=C.C=CC(=O)OC,COC(=O)C1CCC1,5,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C@@:1]1([H:7])([H:8])[C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:13]([H:15])([H:16])[C@@:14]1([H:17])[H:18]
4,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C@:1]1([H:7])([H:8])[C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@@:14]([H:17])([H:18])[C@:13]1([H:15])[H:16],C=C.C=CC(=O)OC,COC(=O)C1CCC1,4,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C@:1]1([H:7])([H:8])[C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@@:14]([H:17])([H:18])[C@:13]1([H:15])[H:16]
5,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C@@:1]1([H:7])([H:8])[C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@@:13]([H:15])([H:16])[C@:14]1([H:17])[H:18],C=C.C=CC(=O)OC,COC(=O)C1CCC1,4,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C@@:1]1([H:7])([H:8])[C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@@:13]([H:15])([H:16])[C@:14]1([H:17])[H:18]
6,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C@:1]1([H:7])([H:8])[C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:13]([H:15])([H:16])[C@@:14]1([H:17])[H:18],C=C.C=CC(=O)OC,COC(=O)C1CCC1,3,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C@:1]1([H:7])([H:8])[C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:13]([H:15])([H:16])[C@@:14]1([H:17])[H:18]
7,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C:13](=[C:14](\[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],C=C.C=CC(=O)OC,C=C.C=CC(=O)OC,3,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C:13](=[C:14](\[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]
8,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C@@:1]1([H:7])([H:8])[C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@@:14]([H:17])([H:18])[C@:13]1([H:15])[H:16],C=C.C=CC(=O)OC,COC(=O)C1CCC1,3,[C:13](=[C:14](/[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C@@:1]1([H:7])([H:8])[C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@@:14]([H:17])([H:18])[C@:13]1([H:15])[H:16]
9,[C:13](=[C:14](\[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C:13](=[C:14](\[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],C=C.C=CC(=O)OC,C=C.C=CC(=O)OC,2,[C:13](=[C:14](\[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C:13](=[C:14](\[H:17])[H:18])(\[H:15])[H:16].[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]
