,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
34,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:8])([H:10])[H:11])[H:9])(\[H:7])[H:12].[P:13]([H:14])([H:15])[H:16]>>[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:12])[H:16].[O:5]([C@:6]([H:8])([H:10])[H:11])[P:13]([H:14])[H:15],C=CC(=O)OC.P,CC=C=O.COP,1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:8])([H:10])[H:11])[H:9])(\[H:7])[H:12].[P:13]([H:14])([H:15])[H:16],[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:12])[H:16].[O:5]([C@:6]([H:8])([H:10])[H:11])[P:13]([H:14])[H:15]
35,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[H:11].[O:5]=[C:6]([H:10])[H:12].[P:13]([H:14])([H:15])[H:16],C=CC(=O)OC.P,C=O.CC=C=O.P,1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[H:11].[O:5]=[C:6]([H:10])[H:12].[P:13]([H:14])([H:15])[H:16]
36,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@:1](/[C:2](=[C:3](\[O:4][P:13]([H:14])[H:16])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[H:15],C=CC(=O)OC.P,C/C=C(/OC)OP,1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@:1](/[C:2](=[C:3](\[O:4][P:13]([H:14])[H:16])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[H:15]
37,[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([H:14])([H:15])[H:16],C=CC(=O)OC.P,CO/C([O-])=C\C[P@@H3+],1.0,[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[P@@+:13]([H:14])([H:15])[H:16]
38,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C:1](#[C:2][H:9])[H:7].[C:3]([O-:4])([O:5][C@@:6]([H:8])([H:10])[H:12])=[P:13]([H:14])([H:15])[H:16].[H+:11],C=CC(=O)OC.P,C#C.COC([O-])=[PH3].[H+],1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C:1](#[C:2][H:9])[H:7].[C:3]([O-:4])([O:5][C@@:6]([H:8])([H:10])[H:12])=[P:13]([H:14])([H:15])[H:16].[H+:11]
39,[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:7])([H:10])[H:11])[H:9])(\[H:8])[H:12].[P:13]([H:14])([H:15])[H:16]>>[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:8])([H:10])[H:11])[H:9])(\[H:7])[H:12].[P:13]([H:14])([H:15])[H:16],C=CC(=O)OC.P,C=CC(=O)OC.P,1.0,[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:7])([H:10])[H:11])[H:9])(\[H:8])[H:12].[P:13]([H:14])([H:15])[H:16],[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:8])([H:10])[H:11])[H:9])(\[H:7])[H:12].[P:13]([H:14])([H:15])[H:16]
40,[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@@:6]([H:7])([H:10])[H:12])[H:9])(\[H:8])[H:11].[P:13]([H:14])([H:15])[H:16]>>[C@@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[H:11].[O:5]([C@:6]([H:10])([H:12])[H:16])[P:13]([H:14])[H:15],C=CC(=O)OC.P,CC=C=O.COP,1.0,[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@@:6]([H:7])([H:10])[H:12])[H:9])(\[H:8])[H:11].[P:13]([H:14])([H:15])[H:16],[C@@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[H:11].[O:5]([C@:6]([H:10])([H:12])[H:16])[P:13]([H:14])[H:15]
41,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C-:1](/[C:2](=[C-:3]/[O-:4])[H:9])([H:7])[H:12].[H+:15].[H+:8].[H:10][P:13]([H:14])[H:16].[O+:5]#[C:6][H:11],C=CC(=O)OC.P,C#[O+].P.[CH2-]/C=[C-]/[O-].[H+].[H+],1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C-:1](/[C:2](=[C-:3]/[O-:4])[H:9])([H:7])[H:12].[H+:15].[H+:8].[H:10][P:13]([H:14])[H:16].[O+:5]#[C:6][H:11]
42,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C-:1](/[C:2](=[C:3](/[O-:4])[O+:5]([C@:6]([H:10])([H:11])[H:12])[P:13]([H:15])[H:16])[H:9])([H:7])[H:8].[H+:14],C=CC(=O)OC.P,[CH2-]/C=C(/[O-])[O+](C)P.[H+],1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C-:1](/[C:2](=[C:3](/[O-:4])[O+:5]([C@:6]([H:10])([H:11])[H:12])[P:13]([H:15])[H:16])[H:9])([H:7])[H:8].[H+:14]
43,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C-:1](/[C:2](=[C:3](/[O:4][P:13]([H:14])[H:16])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])[H:8].[H+:15],C=CC(=O)OC.P,[CH2-]/C=C(\OC)OP.[H+],1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C-:1](/[C:2](=[C:3](/[O:4][P:13]([H:14])[H:16])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])[H:8].[H+:15]
44,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C-:1](/[C:2](=[C:3](/[O:4][P:13]([H:14])[H:16])[O:5][C@@:6]([H:11])([H:12])[H:15])[H:9])([H:7])[H:8].[H+:10],C=CC(=O)OC.P,[CH2-]/C=C(\OC)OP.[H+],1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C-:1](/[C:2](=[C:3](/[O:4][P:13]([H:14])[H:16])[O:5][C@@:6]([H:11])([H:12])[H:15])[H:9])([H:7])[H:8].[H+:10]
45,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C-:1](/[C:2](=[O+:4]\[C-:3]=[P:13]\[H:15])[H:9])([H:7])[H:8].[H+:12].[H:14][H:16].[O:5]=[C:6]([H:10])[H:11],C=CC(=O)OC.P,C=O.[H+].[H]/P=[C-]/[O+]=C\[CH2-].[H][H],1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C-:1](/[C:2](=[O+:4]\[C-:3]=[P:13]\[H:15])[H:9])([H:7])[H:8].[H+:12].[H:14][H:16].[O:5]=[C:6]([H:10])[H:11]
46,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C-:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])\[H:7].[H:8][P+:13]([H:14])([H:15])[H:16],C=CC(=O)OC.P,[H]/[C-]=C\C(=O)OC.[PH4+],1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C-:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])\[H:7].[H:8][P+:13]([H:14])([H:15])[H:16]
47,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C-:1](=[C:2](\[H:9])[H:10])\[H:7].[C-:3](=[O+:4]/[H:15])\[O+:5]=[C:6](\[H:8])[H:11].[H:12][P:13]([H:14])[H:16],C=CC(=O)OC.P,P.[H]/[O+]=[C-]/[O+]=C.[H][C-]=C,1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C-:1](=[C:2](\[H:9])[H:10])\[H:7].[C-:3](=[O+:4]/[H:15])\[O+:5]=[C:6](\[H:8])[H:11].[H:12][P:13]([H:14])[H:16]
48,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C-:1]([C:2]([H:9])=[P:13]([C:3](=[O:4])[O:5][C@@:6]([H:11])([H:12])[H:14])([H:15])[H:16])([H:7])[H:8].[H+:10],C=CC(=O)OC.P,[CH2-]C=[PH2]C(=O)OC.[H+],1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C-:1]([C:2]([H:9])=[P:13]([C:3](=[O:4])[O:5][C@@:6]([H:11])([H:12])[H:14])([H:15])[H:16])([H:7])[H:8].[H+:10]
49,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16]>>[C-:1]([C:2]([H:9])=[P:13]([H:14])([H:15])[H:16])([H:7])[H:8].[C:3](#[O+:4])[O:5][C-:6]([H:10])[H:11].[H+:12],C=CC(=O)OC.P,[CH2-]C=[PH3].[CH2-]OC#[O+].[H+],1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[P:13]([H:14])([H:15])[H:16],[C-:1]([C:2]([H:9])=[P:13]([H:14])([H:15])[H:16])([H:7])[H:8].[C:3](#[O+:4])[O:5][C-:6]([H:10])[H:11].[H+:12]
