,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14]>>[C:1](=[C:2](\[C@:3]([O-:4])([O:5][C@:6]([H:10])([H:11])[H:12])[O:13][H:14])[H:9])(\[H:7])[H:8],C=CC(=O)OC.[OH-],C=C[C@@]([O-])(O)OC,37,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14],[C:1](=[C:2](\[C@:3]([O-:4])([O:5][C@:6]([H:10])([H:11])[H:12])[O:13][H:14])[H:9])(\[H:7])[H:8]
1,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14]>>[C:1](=[C:2](\[C@@:3]([O-:4])([O:5][C@:6]([H:10])([H:11])[H:12])[O:13][H:14])[H:9])(\[H:7])[H:8],C=CC(=O)OC.[OH-],C=C[C@]([O-])(O)OC,32,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14],[C:1](=[C:2](\[C@@:3]([O-:4])([O:5][C@:6]([H:10])([H:11])[H:12])[O:13][H:14])[H:9])(\[H:7])[H:8]
2,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14]>>[C@@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:13][H:14],C=CC(=O)OC.[OH-],CO/C([O-])=C/CO,11,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14],[C@@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:13][H:14]
3,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14]>>[C@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:13][H:14],C=CC(=O)OC.[OH-],CO/C([O-])=C/CO,9,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14],[C@:1](/[C:2](=[C:3](\[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:13][H:14]
4,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14]>>[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:13][H:14],C=CC(=O)OC.[OH-],CO/C([O-])=C\CO,7,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14],[C@@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:13][H:14]
5,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14]>>[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:13][H:14],C=CC(=O)OC.[OH-],CO/C([O-])=C\CO,4,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O-:13][H:14],[C@:1](/[C:2](=[C:3](/[O-:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:13][H:14]
