,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]>>[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],C=CC(=O)OC.CSC,C=CC(=O)OC.CSC,10.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]
1,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]>>[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:14]([H:16])([H:17])[H:18])([H:7])([H:8])[S:13][C@:15]([H:19])([H:20])[H:21],C=CC(=O)OC.CSC,COC(=O)[C@H](C)CSC,6.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:14]([H:16])([H:17])[H:18])([H:7])([H:8])[S:13][C@:15]([H:19])([H:20])[H:21]
2,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]>>[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:15]([H:19])([H:20])[H:21])([H:7])([H:8])[S:13][C@:14]([H:16])([H:17])[H:18],C=CC(=O)OC.CSC,COC(=O)[C@H](C)CSC,5.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],[C@:1]([C@@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:15]([H:19])([H:20])[H:21])([H:7])([H:8])[S:13][C@:14]([H:16])([H:17])[H:18]
3,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]>>[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:15]([H:19])([H:20])[H:21])([H:7])([H:8])[S:13][C@:14]([H:16])([H:17])[H:18],C=CC(=O)OC.CSC,COC(=O)[C@@H](C)CSC,4.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:15]([H:19])([H:20])[H:21])([H:7])([H:8])[S:13][C@:14]([H:16])([H:17])[H:18]
4,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]>>[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:14]([H:16])([H:17])[H:18])([H:7])([H:8])[S:13][C@:15]([H:19])([H:20])[H:21],C=CC(=O)OC.CSC,COC(=O)[C@@H](C)CSC,2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],[C@@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:14]([H:16])([H:17])[H:18])([H:7])([H:8])[S:13][C@:15]([H:19])([H:20])[H:21]
5,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]>>[C@@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[S:13][C@:14]([H:16])([H:17])[H:18].[O:5]([C@:6]([H:10])([H:11])[H:12])[C@:15]([H:19])([H:20])[H:21],C=CC(=O)OC.CSC,COC.CSCC=C=O,2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],[C@@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[S:13][C@:14]([H:16])([H:17])[H:18].[O:5]([C@:6]([H:10])([H:11])[H:12])[C@:15]([H:19])([H:20])[H:21]
6,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]>>[C@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:14]([H:16])([H:17])[H:18])([H:7])([H:8])[S:13][C@:15]([H:19])([H:20])[H:21],C=CC(=O)OC.CSC,COC(=O)[C@@H](C)CSC,2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],[C@:1]([C@:2]([C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])([H:9])[C@:14]([H:16])([H:17])[H:18])([H:7])([H:8])[S:13][C@:15]([H:19])([H:20])[H:21]
7,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]>>[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[S:13][C@:15]([H:19])([H:20])[H:21].[O:5]([C@:6]([H:10])([H:11])[H:12])[C@:14]([H:16])([H:17])[H:18],C=CC(=O)OC.CSC,COC.CSCC=C=O,2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[S:13][C@:15]([H:19])([H:20])[H:21].[O:5]([C@:6]([H:10])([H:11])[H:12])[C@:14]([H:16])([H:17])[H:18]
8,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]>>[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[S:13][C@:14]([H:16])([H:17])[H:18].[O:5]([C@:6]([H:10])([H:11])[H:12])[C@:15]([H:19])([H:20])[H:21],C=CC(=O)OC.CSC,COC.CSCC=C=O,2.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],[C@:1]([C:2](=[C:3]=[O:4])[H:9])([H:7])([H:8])[S:13][C@:14]([H:16])([H:17])[H:18].[O:5]([C@:6]([H:10])([H:11])[H:12])[C@:15]([H:19])([H:20])[H:21]
9,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21]>>[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:11])([H:12])[S:13][C@:15]([H:19])([H:20])[H:21])[H:9])(\[H:7])[H:8].[H:10][C:14]([H:16])([H:17])[H:18],C=CC(=O)OC.CSC,C.C=CC(=O)OCSC,1.0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[S:13]([C@:14]([H:16])([H:17])[H:18])[C@:15]([H:19])([H:20])[H:21],[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:11])([H:12])[S:13][C@:15]([H:19])([H:20])[H:21])[H:9])(\[H:7])[H:8].[H:10][C:14]([H:16])([H:17])[H:18]
