,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
0,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16]>>[C:1](=[C:2]([C:3](\[O:4][H:14])=[O+:5]\[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:15])[H:16],C=CC(=O)OC.[OH3+],C=C/C(O)=[O+]/C.O,24,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16],[C:1](=[C:2]([C:3](\[O:4][H:14])=[O+:5]\[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:15])[H:16]
1,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16]>>[C:1](=[C:2]([C:3](\[O:4][H:16])=[O+:5]\[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:14])[H:15],C=CC(=O)OC.[OH3+],C=C/C(O)=[O+]/C.O,24,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16],[C:1](=[C:2]([C:3](\[O:4][H:16])=[O+:5]\[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:14])[H:15]
2,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16]>>[C:1](=[C:2]([C:3](\[O:4][H:15])=[O+:5]\[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:14])[H:16],C=CC(=O)OC.[OH3+],C=C/C(O)=[O+]/C.O,21,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16],[C:1](=[C:2]([C:3](\[O:4][H:15])=[O+:5]\[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:14])[H:16]
3,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16]>>[C:1](=[C:2]([C:3](\[O:4][H:14])=[O+:5]/[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:15])[H:16],C=CC(=O)OC.[OH3+],C=C/C(O)=[O+]\C.O,16,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16],[C:1](=[C:2]([C:3](\[O:4][H:14])=[O+:5]/[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:15])[H:16]
4,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16]>>[C:1](=[C:2]([C:3](\[O:4][H:15])=[O+:5]/[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:14])[H:16],C=CC(=O)OC.[OH3+],C=C/C(O)=[O+]\C.O,14,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16],[C:1](=[C:2]([C:3](\[O:4][H:15])=[O+:5]/[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:14])[H:16]
5,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16]>>[C:1](=[C:2]([C:3](\[O:4][H:16])=[O+:5]/[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:14])[H:15],C=CC(=O)OC.[OH3+],C=C/C(O)=[O+]\C.O,10,[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8].[O+:13]([H:14])([H:15])[H:16],[C:1](=[C:2]([C:3](\[O:4][H:16])=[O+:5]/[C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[O:13]([H:14])[H:15]
