,Reactions,Reactants_canonical,Products_canonical,counts,reactant_smiles_am,product_smiles_am
0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C:1](=[C:2](\[C@@:3]([O:4][H:17])([O:5][C@:6]([H:10])([H:11])[H:12])[O:14][C:13](=[O:15])[H:16])[H:9])(\[H:7])[H:8],C=CC(=O)OC.O=CO,C=C[C@@](O)(OC)OC=O,10.0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C:1](=[C:2](\[C@@:3]([O:4][H:17])([O:5][C@:6]([H:10])([H:11])[H:12])[O:14][C:13](=[O:15])[H:16])[H:9])(\[H:7])[H:8]
1,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C:1](=[C:2](\[C@:3]([O:4][H:17])([O:5][C@:6]([H:10])([H:11])[H:12])[O:14][C:13](=[O:15])[H:16])[H:9])(\[H:7])[H:8],C=CC(=O)OC.O=CO,C=C[C@](O)(OC)OC=O,5.0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C:1](=[C:2](\[C@:3]([O:4][H:17])([O:5][C@:6]([H:10])([H:11])[H:12])[O:14][C:13](=[O:15])[H:16])[H:9])(\[H:7])[H:8]
2,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C-:13]([O-:14])=[O:15].[C:1](=[C:2]([C:3](=[O+:4]\[H:17])\[O:5][C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[H+:16],C=CC(=O)OC.O=CO,O=[C-][O-].[H+].[H]/[O+]=C(/C=C)OC,5.0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C-:13]([O-:14])=[O:15].[C:1](=[C:2]([C:3](=[O+:4]\[H:17])\[O:5][C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8].[H+:16]
3,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C:1](=[C:2](\[C@:3]([O:4][H:17])([O:5][C@:6]([H:10])([H:11])[H:12])[O:15][C:13](=[O:14])[H:16])[H:9])(\[H:7])[H:8],C=CC(=O)OC.O=CO,C=C[C@](O)(OC)OC=O,5.0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C:1](=[C:2](\[C@:3]([O:4][H:17])([O:5][C@:6]([H:10])([H:11])[H:12])[O:15][C:13](=[O:14])[H:16])[H:9])(\[H:7])[H:8]
4,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],C=CC(=O)OC.O=CO,C=CC(=O)OC.O=CO,3.0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](/[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]
5,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C:13](=[O:14])([O:15][H:17])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],C=CC(=O)OC.O=CO,C=CC(=O)OC.O=CO,3.0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C:13](=[O:14])([O:15][H:17])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]
6,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C@:1](/[C:2](=[C:3](\[O:4][H:17])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:15][C:13](=[O:14])[H:16],C=CC(=O)OC.O=CO,CO/C(O)=C/COC=O,3.0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C@:1](/[C:2](=[C:3](\[O:4][H:17])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:15][C:13](=[O:14])[H:16]
7,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C:1](=[C:2](\[C:3](=[O:4])[O:15][C:13](=[O:14])[H:16])[H:9])(\[H:7])[H:8].[O:5]([C@:6]([H:10])([H:11])[H:12])[H:17],C=CC(=O)OC.O=CO,C=CC(=O)OC=O.CO,2.0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C:1](=[C:2](\[C:3](=[O:4])[O:15][C:13](=[O:14])[H:16])[H:9])(\[H:7])[H:8].[O:5]([C@:6]([H:10])([H:11])[H:12])[H:17]
8,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C:13]([O-:14])(=[O:15])[H:16].[C:1](=[C:2]([C:3](=[O+:4]\[H:17])\[O:5][C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8],C=CC(=O)OC.O=CO,O=C[O-].[H]/[O+]=C(/C=C)OC,2.0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C:13]([O-:14])(=[O:15])[H:16].[C:1](=[C:2]([C:3](=[O+:4]\[H:17])\[O:5][C@:6]([H:10])([H:11])[H:12])/[H:9])(\[H:7])[H:8]
9,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8]>>[C@:1](/[C:2](=[C:3](\[O:4][H:17])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:14][C:13](=[O:15])[H:16],C=CC(=O)OC.O=CO,CO/C(O)=C/COC=O,2.0,[C:13]([O:14][H:17])(=[O:15])[H:16].[C:1](=[C:2](\[C:3](=[O:4])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])(\[H:7])[H:8],[C@:1](/[C:2](=[C:3](\[O:4][H:17])[O:5][C@:6]([H:10])([H:11])[H:12])[H:9])([H:7])([H:8])[O:14][C:13](=[O:15])[H:16]
